#{"t_start": 1746566952.03899, "env_id": "MiniGrid-DoorKey-8x8-v0"}
r,l,t
0,640,20.629568
0.287031,507,40.30951
0,640,69.710679
0,640,95.672867
0,640,120.752673
0,640,157.87621
0.690625,220,161.34147
0,640,184.223934
0,640,217.899512
0.490937,362,223.034255
0.5725,304,241.070443
0.838281,115,242.452431
0.832656,119,243.794825
0.852344,105,258.075665
0.881875,84,259.210755
0.824219,125,260.887826
0.929688,50,261.476733
0.69625,216,276.493478
0.96625,24,276.823467
0.947969,37,277.264065
0.935312,46,277.927033
0.924063,54,278.623247
0.649844,249,282.155148
0.883281,83,296.411694
0.9775,16,296.806589
0.914219,61,297.738659
0.936719,45,298.391471
0.933906,47,299.012259
0.957812,30,299.381213
0.945156,39,299.883728
0.772188,162,302.032417
0.950781,35,302.481397
0.832656,119,318.637867
0.956406,31,319.018722
0.784844,153,320.424229
0.940937,42,320.854179
0.967656,23,321.060006
0.926875,52,321.549378
0.901563,70,322.260142
0.96625,24,322.501393
0.931094,49,323.000333
0.956406,31,337.786555
0.949375,36,338.380297
0.904375,68,339.362198
0.959219,29,339.735874
0.955,32,340.19835
0.772188,162,342.566181
0.939531,43,343.113222
0.917031,59,343.842184
0.94375,40,344.349466
0.926875,52,358.334662
0.939531,43,358.828044
0.974688,18,358.985265
0.957812,30,359.319389
0.900156,71,360.064787
0.942344,41,360.553993
0.964844,25,360.834474
0.940937,42,361.297859
0.962031,27,361.600187
0.967656,23,361.908889
0.945156,39,362.305681
0.92125,56,362.955036
0.947969,37,363.389402
0.96625,24,363.660287
0.933906,47,377.035916
0.947969,37,377.451498
0.969063,22,377.682077
0.960625,28,378.046962
0.933906,47,378.576615
0.955,32,378.918845
0.960625,28,379.256202
0.940937,42,379.760587
0.973281,19,379.948063
0.946562,38,380.358338
0.969063,22,380.580888
0.949375,36,381.013432
0.981719,13,381.162993
0.945156,39,381.586703
0.96625,24,381.873787
0.967656,23,382.181428
0.967656,23,382.426973
0.96625,24,396.505826
0.940937,42,396.912461
0.928281,51,397.345867
0.938125,44,397.947513
0.955,32,398.318003
0.973281,19,398.524682
0.814375,132,400.190932
0.962031,27,400.504948
0.9325,48,401.007118
0.962031,27,401.263296
0.963437,26,401.497463
0.931094,49,418.76973
0.976094,17,419.076644
0.947969,37,419.595364
0.949375,36,420.109892
0.869219,93,421.362058
0.918438,58,422.197963
0.963437,26,422.741122
0.978906,15,422.996632
0.924063,54,423.789069
0.953594,33,424.297561
0.976094,17,424.519823
0.959219,29,424.868072
