time/total_timesteps,train/loss,train/explained_variance,train/n_updates,train/dsc_loss_mean,train/pos_dsc_loss_mean,train/neg_dsc_loss_mean,train/key_loss_mean,train/door_loss_mean,train/pos_loss_mean,train/key_dist_mean,train/door_dist_mean,train/goal_dist_mean,train/n_valid_samples_mean,train/n_valid_pos_samples_mean,train/n_valid_neg_samples_mean,train/policy_loss_mean,train/value_loss_mean,train/entropy_loss_mean,train/adv_mean,train/adv_std_mean,train/clip_fraction_mean,train/approx_kl_div_mean,
8192,-0.019459020346403122,0.0,4,0.49477025447413325,0.4760085232555866,0.5135319828987122,0.0,0.0,0.0,0.0,0.0,0.0,1023.96875,512.0,511.96875,-2.243215955211042e-07,3.2563791633458716e-05,-1.9459097664803267,2.2432128998772782e-07,2.1652418813467023e-07,0.0,0.0,
16384,-0.05076311156153679,0.0009028911590576172,8,0.3083609789609909,0.2716691242530942,0.3450528346002102,0.0,0.0,0.0,0.0,0.0,0.0,1021.9375,511.0,510.9375,-0.0297942545148544,0.0024977412631415064,-1.9384868759661913,0.028937940194737166,0.06217509025009349,0.1085205078125,0.00761034432798624,
24576,-0.029095232486724854,-0.058196187019348145,12,0.2218154687434435,0.18039482296444476,0.26323611475527287,0.0,0.0,0.0,0.0,0.0,0.0,1021.9375,511.0,510.9375,-0.010938707171590067,0.005439313241367927,-1.916392209008336,0.009554929383739363,0.0916457389248535,0.1026611328125,0.007649067789316177,
32768,-0.011821373365819454,-0.29150068759918213,16,0.18040447984822094,0.14095529436599463,0.21985366428270936,0.0,0.0,0.0,0.0,0.0,0.0,1021.96875,511.0,510.96875,0.005530845247108118,0.00422634898495744,-1.8937060050666332,-0.007513114044741087,0.09546766593120992,0.130279541015625,0.008854016661643982,
40960,0.0028417184948921204,-0.17955636978149414,20,0.15365341841243207,0.1168478560866788,0.19045898271724582,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,511.0,511.0,0.023124257888412103,0.0024904257188609336,-1.8869496267288923,-0.024837093660607934,0.07598236156627536,0.120574951171875,0.008743174374103546,
49152,-0.011800266802310944,-0.0657198429107666,24,0.12443205434828997,0.09248256753198802,0.15638154139742255,0.0,0.0,0.0,0.0,0.0,0.0,1023.609375,511.8125,511.796875,-0.0024912788921938045,0.004258825181750581,-1.8759544044733047,0.00017764344374882057,0.09920791047625244,0.15985107421875,0.010355750098824501,
57344,-0.02864092029631138,0.04215306043624878,28,0.11467942118179053,0.08333343541016802,0.14602540584746748,0.0,0.0,0.0,0.0,0.0,0.0,1021.859375,510.9375,510.921875,-0.012130633240303723,0.005606071244983468,-1.8560542687773705,0.009574627887559473,0.11825869523454458,0.1409912109375,0.009307973086833954,
65536,-0.033434588462114334,0.16037911176681519,32,0.10433747665956616,0.07191470690304413,0.13676024705637246,0.0,0.0,0.0,0.0,0.0,0.0,1021.125,510.5625,510.5625,-0.014356189944010112,0.008345169182575773,-1.8202958386391401,0.010794528005135362,0.15318246954120696,0.1712646484375,0.011840270832180977,
73728,-0.021869860589504242,0.19592124223709106,36,0.09210348478518426,0.06404812849359587,0.12015884113498032,0.0,0.0,0.0,0.0,0.0,0.0,1021.375,510.6875,510.6875,-0.00011219955149499583,0.007020745462796185,-1.8045722469687462,-0.0036196698683852446,0.15451488620601594,0.17388916015625,0.01251527201384306,
81920,-0.02571752853691578,0.0186118483543396,40,0.08840650593629107,0.05900057317921892,0.11781243863515556,0.0,0.0,0.0,0.0,0.0,0.0,1021.5,510.75,510.75,-0.013532250475691399,0.008392227173317224,-1.7689441200345755,0.008676832396304235,0.1858748164959252,0.20458984375,0.014544252306222916,
90112,-0.06123591586947441,0.340385377407074,44,0.07712333672679961,0.05222390656126663,0.10202276718337089,0.0,0.0,0.0,0.0,0.0,0.0,1018.734375,509.375,509.359375,-0.0612809996237047,0.01317080482840538,-1.7416540533304214,0.05600093910470605,0.2186167472973466,0.22613525390625,0.015835627913475037,
98304,-0.03293567895889282,0.3795408010482788,48,0.07463293743785471,0.04819096380379051,0.10107491072267294,0.0,0.0,0.0,0.0,0.0,0.0,1019.125,509.5625,509.5625,-0.034197848290205,0.012134197211707942,-1.712416235357523,0.027964531705947593,0.22890547942370176,0.229248046875,0.016034506261348724,
106496,-0.04496869072318077,0.44035398960113525,52,0.07027520949486643,0.04653380066156387,0.09401661832816899,0.0,0.0,0.0,0.0,0.0,0.0,1017.359375,508.6875,508.671875,-0.0369676488917321,0.015097628565854393,-1.6602906975895166,0.029807502665789798,0.26685995142906904,0.25439453125,0.018881604075431824,
114688,-0.16571050882339478,0.5684737861156464,56,0.06680500681977719,0.042354360106401145,0.09125565399881452,0.0,0.0,0.0,0.0,0.0,0.0,1011.5,505.75,505.75,-0.14055811916477978,0.02074232122686226,-1.560070339590311,0.1335382000543177,0.31169384764507413,0.245758056640625,0.01801205798983574,
122880,-0.11566250771284103,0.6129319071769714,60,0.06366374820936471,0.03998166974633932,0.08734582684701309,0.0,0.0,0.0,0.0,0.0,0.0,1010.625,505.3125,505.3125,-0.08451886189868674,0.018593361251987517,-1.5028166081756353,0.0762013578787446,0.31382841477170587,0.2525634765625,0.020321477204561234,
131072,-0.12188278883695602,0.5731220543384552,64,0.0570976888993755,0.03648807539138943,0.0777073023491539,0.0,0.0,0.0,0.0,0.0,0.0,1004.875,502.4375,502.4375,-0.12074071529787034,0.01628995941428002,-1.4020306691527367,0.11320832674391568,0.2987902336753905,0.239990234375,0.017519764602184296,
139264,-0.12283837795257568,0.4916335940361023,68,0.052091790828853846,0.033363227179506794,0.0708203538088128,0.0,0.0,0.0,0.0,0.0,0.0,998.875,499.4375,499.4375,-0.08639850554754958,0.010151386995858047,-1.2735391948372126,0.08037455071462318,0.2600211170502007,0.217681884765625,0.01668979972600937,
147456,-0.014674249105155468,0.4256870746612549,72,0.0486607464554254,0.030865123902913183,0.06645636883331463,0.0,0.0,0.0,0.0,0.0,0.0,996.5,498.25,498.25,-0.00017176442452182528,0.0073504098545527086,-1.209255114197731,-0.005027224655350437,0.23224949114955962,0.212677001953125,0.017394475638866425,
155648,0.009362731128931046,0.291512131690979,76,0.046491037879604846,0.02915243955794722,0.06382963570649736,0.0,0.0,0.0,0.0,0.0,0.0,994.75,497.375,497.375,0.020068740134775,0.005236340963165276,-1.1890374459326267,-0.025648316703154705,0.2051633191294968,0.20635986328125,0.0164908766746521,
163840,0.07755187153816223,0.31180399656295776,80,0.043811461597215384,0.028266811394132674,0.059356111887609586,0.0,0.0,0.0,0.0,0.0,0.0,997.375,498.6875,498.6875,0.10010724770836532,0.005283972772303969,-1.2044742591679096,-0.10595795011613518,0.21268416661769152,0.232818603515625,0.02717258408665657,
172032,0.06639546155929565,0.3779979944229126,84,0.04323123043286614,0.027032294325181283,0.059430166525999084,0.0,0.0,0.0,0.0,0.0,0.0,997.5,498.75,498.75,0.09239839890506119,0.005518631558516063,-1.1972519289702177,-0.09875486069358885,0.22924977238290012,0.24359130859375,0.020005639642477036,
180224,0.06830236315727234,0.44088053703308105,88,0.040383411396760494,0.025743912701727822,0.05502290968433954,0.0,0.0,0.0,0.0,0.0,0.0,997.625,498.8125,498.8125,0.08076251170132309,0.005562909005675465,-1.2042882181704044,-0.08745122258551419,0.24395351228304207,0.23114013671875,0.019850855693221092,
188416,0.021064862608909607,0.453471839427948,92,0.03787883813492954,0.024221910658525303,0.05153576555312611,0.0,0.0,0.0,0.0,0.0,0.0,994.09375,497.0625,497.03125,0.03350169838813599,0.005882038378331345,-1.124266143888235,-0.04034541264991276,0.25383122521452606,0.23236083984375,0.02026154100894928,
196608,0.010364212095737457,0.5269047319889069,96,0.034206655371235684,0.021596731327008456,0.046816579095320776,0.0,0.0,0.0,0.0,0.0,0.0,992.75,496.375,496.375,0.022170340813318035,0.004878818563156528,-1.0631407462060452,-0.029050627432297915,0.2474809878040105,0.221923828125,0.018765456974506378,
